time,surface_pressure (hPa),soil_moisture_0_to_7cm (m³/m³),et0_fao_evapotranspiration (mm),rain (mm),windspeed_10m (km/h),relativehumidity_2m (%),temperature_2m (°C),soil_temperature_0_to_7cm (°C),cloudcover (%),shortwave_radiation (W/m²),weathercode (wmo code),crop,stageOfGrowth,Kc,irrigation
2010-01-13,992.83,0.4,0.64,3.4,10.29,82.79,7.02,7.05,89.71,740.0,1,Bean,InitialStage,0.35,0
2010-01-14,994.67,0.39,1.04,0.0,6.29,76.54,7.59,8.28,32.83,2232.0,2,Eggplant,InitialStage,0.45,1
2010-01-15,997.64,0.38,1.29,0.1,17.72,76.71,8.48,8.61,51.33,1879.0,1,Grain,InitialStage,0.35,1
2010-01-16,1004.94,0.37,1.54,0.0,13.75,68.42,8.3,9.08,11.54,2512.0,0,Cucumber,CropDevStage,0.7,1
2010-01-17,1006.52,0.37,0.48,0.4,5.05,82.38,7.29,8.1,81.54,813.0,1,Eggplant,MidSeasonStage,1.15,1
2010-01-18,1005.34,0.36,1.24,0.0,10.9,76.96,7.94,8.6,21.75,2363.0,1,Barley,LateSeasonStage,0.45,1
2010-01-19,1005.04,0.36,1.24,0.0,6.21,70.79,7.38,8.0,7.25,2671.0,0,Eggplant,InitialStage,0.45,1
2010-01-20,1001.19,0.35,1.12,0.0,5.96,76.62,6.92,7.26,37.08,2469.0,1,Cucumber,InitialStage,0.45,1
2010-01-21,998.38,0.35,1.28,0.0,16.97,71.33,7.1,7.8,41.08,1704.0,3,Lettuce,InitialStage,0.45,1
2010-01-22,1002.7,0.35,1.25,0.7,9.17,68.5,5.69,7.22,13.42,2346.0,0,Lettuce,MidSeasonStage,1.0,1
2010-01-23,1006.45,0.34,1.35,0.0,8.46,63.62,4.8,6.18,10.58,2786.0,0,Carrot,InitialStage,0.45,1
2010-01-24,1009.09,0.34,1.11,0.0,4.15,73.92,5.4,5.62,10.71,2729.0,1,Grain,CropDevStage,0.75,1
2010-01-25,1009.62,0.34,1.04,1.3,10.11,75.96,6.18,6.07,61.58,1865.0,0,Eggplant,MidSeasonStage,1.15,1
2010-01-26,1005.38,0.35,0.98,2.8,11.25,75.62,8.26,8.14,88.21,1642.0,51,Lettuce,CropDevStage,0.6,0
2010-01-27,997.47,0.42,0.69,22.1,17.81,82.33,7.62,8.02,79.5,603.0,53,Cucumber,LateSeasonStage,0.75,0
2010-01-28,990.13,0.4,0.92,1.4,7.0,81.38,7.35,8.16,75.96,2010.0,1,Eggplant,InitialStage,0.45,1
2010-01-29,983.59,0.4,1.07,1.3,7.32,77.38,8.14,8.55,78.46,2096.0,3,Grain,InitialStage,0.35,1
2010-01-30,979.91,0.42,1.05,20.1,13.3,79.71,9.34,9.12,78.46,1712.0,51,Cucumber,InitialStage,0.45,0
2010-01-31,985.13,0.41,1.4,3.2,18.9,67.0,8.23,8.65,47.33,1725.0,1,Bean,InitialStage,0.35,0
2010-02-01,995.16,0.39,1.34,0.0,6.04,59.75,5.51,7.22,30.33,2853.0,1,Barley,MidSeasonStage,1.15,2
2010-02-02,1004.18,0.38,1.44,0.0,5.02,60.25,4.46,5.08,15.17,3284.0,0,Lentil,CropDevStage,0.75,1
2010-02-03,1007.65,0.38,0.81,0.6,3.96,78.5,7.2,5.52,64.38,1647.0,1,Grain,CropDevStage,0.75,1
2010-02-04,1008.19,0.38,1.21,0.0,4.72,82.04,8.22,7.53,59.29,2344.0,2,Grain,LateSeasonStage,0.65,1
2010-02-05,1001.38,0.39,0.79,17.6,12.55,86.38,9.35,8.32,81.21,1153.0,2,Lettuce,InitialStage,0.45,0
2010-02-06,990.55,0.42,1.24,10.4,17.65,78.17,9.84,9.73,72.04,2153.0,53,Cotton,LateSeasonStage,0.75,0
2010-02-07,987.98,0.4,1.45,0.1,9.02,70.0,7.58,8.68,29.0,2730.0,51,Bean,LateSeasonStage,0.9,1
2010-02-08,990.49,0.38,1.36,0.0,6.22,66.67,6.77,7.85,36.71,2868.0,1,Lentil,InitialStage,0.45,1
2010-02-09,987.51,0.39,0.76,9.0,11.18,80.46,7.2,7.5,94.12,1113.0,1,Cotton,LateSeasonStage,0.75,0
2010-02-10,974.55,0.43,0.71,23.5,8.18,89.21,9.0,8.88,95.71,1319.0,61,Lettuce,MidSeasonStage,1.0,0
2010-02-11,981.0,0.4,1.11,3.3,12.97,75.83,7.42,8.27,53.5,2537.0,51,Bean,CropDevStage,0.7,0
2010-02-12,985.15,0.42,1.05,9.8,9.9,77.67,4.5,6.29,74.88,2687.0,1,Cotton,CropDevStage,0.75,0
2010-02-13,994.15,0.4,1.45,0.0,6.44,73.96,5.66,6.6,35.04,3523.0,0,Lentil,CropDevStage,0.75,1
2010-02-14,989.46,0.4,0.76,2.7,10.04,79.71,6.49,6.73,73.17,1156.0,3,Lentil,LateSeasonStage,0.5,0
2010-02-15,991.92,0.4,1.34,1.2,4.78,79.38,7.62,7.37,57.08,3017.0,51,Barley,CropDevStage,0.75,1
2010-02-16,988.7,0.41,0.57,16.0,10.61,84.21,8.28,7.97,99.04,862.0,3,Carrot,MidSeasonStage,1.05,0
2010-02-17,985.58,0.41,0.84,5.8,9.72,89.04,10.49,10.01,86.62,1536.0,61,Lettuce,InitialStage,0.45,0
2010-02-18,992.14,0.42,1.32,21.2,11.3,89.12,12.32,11.55,69.46,2622.0,53,Bean,MidSeasonStage,1.1,0
2010-02-19,985.08,0.41,0.96,9.2,13.26,83.46,12.8,11.67,55.38,1405.0,3,Carrot,MidSeasonStage,1.05,0
2010-02-20,984.53,0.41,1.74,10.2,22.3,75.25,10.89,11.23,61.21,2174.0,1,Cabbage,MidSeasonStage,1.05,0
2010-02-21,995.33,0.4,2.17,1.3,14.07,65.17,10.02,10.58,48.33,3694.0,51,Carrot,CropDevStage,0.75,2
2010-02-22,993.53,0.42,0.68,22.5,14.67,88.25,10.7,10.39,89.75,726.0,51,Bean,LateSeasonStage,0.9,0
2010-02-23,991.45,0.42,1.44,17.0,11.14,90.17,12.65,12.2,72.67,2901.0,51,Lentil,CropDevStage,0.75,0
2010-02-24,990.45,0.41,1.35,9.5,6.86,88.25,11.25,12.01,87.96,2793.0,61,Cotton,InitialStage,0.45,0
2010-02-25,994.61,0.4,1.64,0.0,7.16,87.42,10.98,11.71,51.33,3386.0,2,Bean,CropDevStage,0.7,1
2010-02-26,992.51,0.39,1.44,4.2,15.43,84.08,12.56,12.25,57.79,2524.0,3,Cucumber,MidSeasonStage,0.9,0
2010-02-27,997.23,0.38,2.15,0.0,7.75,78.83,11.23,12.25,35.46,4265.0,0,Cotton,LateSeasonStage,0.75,2
2010-02-28,996.38,0.36,2.2,0.0,8.42,78.42,12.45,12.38,25.46,3944.0,1,Grain,InitialStage,0.35,1
2010-03-01,997.76,0.36,1.73,0.4,7.66,87.58,12.8,13.53,60.58,3499.0,2,Cucumber,LateSeasonStage,0.75,1
2010-03-02,1004.6,0.35,1.98,0.0,10.65,85.38,11.92,12.96,43.21,3993.0,1,Carrot,InitialStage,0.45,1
2010-03-03,999.9,0.35,1.93,1.9,9.87,74.79,12.04,12.47,59.29,3319.0,3,Cabbage,LateSeasonStage,0.9,1
2010-03-04,986.54,0.4,1.19,15.7,16.82,86.25,11.85,12.39,69.92,2073.0,51,Cabbage,LateSeasonStage,0.9,0
2010-03-05,994.28,0.4,1.53,8.0,10.98,76.83,9.28,11.25,58.25,3070.0,0,Barley,MidSeasonStage,1.15,0
2010-03-06,1000.28,0.39,2.38,0.2,12.34,54.54,6.05,8.89,50.38,4592.0,51,Lentil,CropDevStage,0.75,2
2010-03-07,998.29,0.38,2.5,0.0,19.78,58.0,6.83,8.59,59.62,4112.0,1,Cabbage,MidSeasonStage,1.05,2
2010-03-08,992.49,0.36,2.9,0.0,18.6,51.71,6.85,8.79,28.71,4387.0,1,Grain,CropDevStage,0.75,2
2010-03-09,986.95,0.39,0.96,35.9,19.91,77.08,5.78,7.11,80.29,1321.0,0,Cucumber,LateSeasonStage,0.75,0
2010-03-10,989.88,0.42,1.5,7.4,9.34,76.75,9.24,9.39,61.75,3130.0,61,Bean,CropDevStage,0.7,0
2010-03-11,995.65,0.41,1.23,14.3,12.08,77.88,7.38,8.35,70.83,2826.0,2,Eggplant,InitialStage,0.45,0
2010-03-12,1000.99,0.41,1.88,1.1,5.25,76.08,7.44,8.69,40.12,4361.0,51,Grain,CropDevStage,0.75,1
2010-03-13,1001.97,0.39,2.22,0.0,9.41,70.88,7.78,8.55,21.54,4338.0,0,Cotton,MidSeasonStage,1.15,2
2010-03-14,1002.92,0.38,2.06,0.0,8.89,67.42,8.39,9.31,40.96,3997.0,0,Eggplant,LateSeasonStage,0.8,2
2010-03-15,1004.02,0.37,2.29,0.0,5.3,75.46,9.04,9.49,18.71,4823.0,0,Cabbage,CropDevStage,0.75,2
2010-03-16,1007.48,0.38,2.11,2.4,5.69,80.62,8.52,9.04,30.83,4334.0,1,Cabbage,LateSeasonStage,0.9,1
2010-03-17,1015.65,0.37,2.79,0.0,6.35,77.88,9.03,9.46,5.33,5523.0,0,Cabbage,CropDevStage,0.75,2
2010-03-18,1018.47,0.36,2.39,0.0,5.2,78.21,10.43,9.6,21.67,4973.0,0,Barley,LateSeasonStage,0.45,1
2010-03-19,1016.61,0.35,2.54,0.0,4.54,80.17,9.25,9.74,34.38,5218.0,1,Cabbage,CropDevStage,0.75,2
2010-03-20,1013.74,0.35,2.7,0.0,4.77,79.21,10.13,10.52,20.67,5320.0,0,Carrot,CropDevStage,0.75,2
2010-03-21,1011.49,0.34,2.69,0.0,4.71,75.17,11.8,11.64,35.83,4898.0,1,Lettuce,CropDevStage,0.6,2
2010-03-22,1007.25,0.34,1.68,2.8,6.93,73.67,12.95,12.26,89.67,2326.0,2,Barley,LateSeasonStage,0.45,0
2010-03-23,1002.84,0.38,2.13,4.5,6.88,77.0,13.71,13.68,58.21,3765.0,53,Lentil,LateSeasonStage,0.5,0
2010-03-24,1002.07,0.36,2.41,0.0,4.51,85.75,12.6,13.58,42.17,4532.0,1,Carrot,LateSeasonStage,0.9,2
2010-03-25,1004.41,0.35,2.23,0.2,4.94,86.5,12.39,12.86,41.88,4297.0,2,Grain,MidSeasonStage,1.1,2
2010-03-26,1004.25,0.34,3.06,0.0,6.28,82.96,13.01,13.46,22.17,5580.0,0,Lentil,InitialStage,0.45,1
2010-03-27,1000.32,0.33,2.43,0.5,11.35,82.75,12.72,13.77,47.0,4741.0,3,Cabbage,LateSeasonStage,0.9,2
2010-03-28,1001.0,0.33,2.92,0.0,6.98,84.79,11.9,13.34,13.71,5832.0,0,Lettuce,LateSeasonStage,0.9,2
2010-03-29,1002.83,0.32,2.52,0.0,7.11,83.04,12.26,13.38,49.88,4857.0,1,Cucumber,InitialStage,0.45,1
2010-03-30,995.94,0.32,2.77,0.2,9.36,83.75,13.23,13.83,34.92,5095.0,1,Carrot,InitialStage,0.45,1
2010-03-31,997.09,0.31,2.79,0.6,13.77,74.83,12.86,13.76,41.04,5124.0,51,Cabbage,CropDevStage,0.75,2
2010-04-01,1001.27,0.32,2.47,2.6,8.74,82.33,12.61,13.2,48.08,4809.0,0,Cabbage,LateSeasonStage,0.9,1
2010-04-02,1002.68,0.33,2.78,0.0,6.66,77.17,12.2,13.14,32.58,5559.0,2,Bean,LateSeasonStage,0.9,2
2010-04-03,1006.07,0.31,2.85,0.0,5.59,77.96,11.61,12.41,22.96,5448.0,1,Lettuce,MidSeasonStage,1.0,2
2010-04-04,1003.95,0.32,2.69,5.0,9.46,79.0,12.22,12.49,56.83,4794.0,1,Carrot,InitialStage,0.45,0
2010-04-05,1004.65,0.35,2.48,5.4,18.6,74.0,12.32,13.28,44.75,4861.0,61,Eggplant,LateSeasonStage,0.8,0
2010-04-06,1007.92,0.33,3.4,0.0,7.75,73.42,11.33,12.71,3.96,6492.0,0,Barley,InitialStage,0.35,1
2010-04-07,1004.89,0.31,3.74,0.0,5.53,70.0,11.98,12.97,1.12,6627.0,0,Lettuce,InitialStage,0.45,2
2010-04-08,1003.95,0.3,3.43,0.2,6.82,69.79,12.71,13.51,32.54,5915.0,1,Lentil,CropDevStage,0.75,2
2010-04-09,1006.2,0.29,2.33,0.1,7.97,71.79,13.07,13.46,62.79,3663.0,51,Grain,InitialStage,0.35,1
2010-04-10,1003.25,0.29,3.52,0.0,5.9,73.58,13.41,14.22,8.92,6062.0,0,Grain,MidSeasonStage,1.1,3
2010-04-11,996.4,0.28,2.71,3.5,6.93,82.12,12.61,13.95,56.38,5332.0,0,Lettuce,LateSeasonStage,0.9,0
2010-04-12,993.28,0.38,1.94,15.6,8.61,85.38,13.05,14.06,83.33,3812.0,53,Cucumber,CropDevStage,0.7,0
2010-04-13,995.11,0.42,1.57,22.3,4.91,91.25,13.2,13.98,82.5,2795.0,53,Carrot,CropDevStage,0.75,0
2010-04-14,996.9,0.39,2.53,0.0,4.32,82.67,13.04,13.97,50.04,4637.0,1,Lentil,MidSeasonStage,1.1,2
2010-04-15,995.8,0.37,2.55,0.2,5.26,85.12,13.22,14.08,42.08,4562.0,1,Lettuce,CropDevStage,0.6,2
2010-04-16,995.87,0.38,2.49,1.6,7.92,81.08,14.57,15.19,54.88,4415.0,2,Eggplant,MidSeasonStage,1.15,2
2010-04-17,999.03,0.37,3.0,2.5,5.09,86.46,14.35,15.34,37.83,5595.0,1,Cotton,MidSeasonStage,1.15,2
2010-04-18,998.92,0.4,1.27,22.3,3.7,93.54,13.51,14.17,97.58,2104.0,3,Barley,LateSeasonStage,0.45,0
2010-04-19,997.15,0.41,2.95,7.5,6.96,86.79,14.18,15.57,39.12,5691.0,51,Eggplant,CropDevStage,0.75,0
2010-04-20,1000.33,0.38,3.52,1.6,5.82,84.75,13.59,15.14,9.29,6548.0,1,Lettuce,MidSeasonStage,1.0,3
2010-04-21,1002.5,0.37,3.15,0.0,6.88,86.83,13.83,15.31,50.38,6083.0,1,Eggplant,InitialStage,0.45,1
2010-04-22,1000.32,0.36,3.84,1.6,4.84,75.67,14.58,15.77,55.38,6497.0,0,Bean,CropDevStage,0.7,2
2010-04-23,996.64,0.4,1.34,9.7,9.82,83.0,14.14,14.51,82.54,2047.0,53,Lettuce,CropDevStage,0.6,0
2010-04-24,998.2,0.39,2.51,2.8,9.6,76.79,15.42,15.65,86.5,3946.0,51,Eggplant,InitialStage,0.45,0
2010-04-25,1002.94,0.37,3.88,0.0,9.35,72.5,15.96,16.53,22.96,6356.0,2,Barley,MidSeasonStage,1.15,3
2010-04-26,1004.41,0.36,3.68,1.1,4.59,82.96,15.99,16.98,27.92,6047.0,1,Carrot,InitialStage,0.45,2
2010-04-27,1005.18,0.35,2.96,3.9,4.63,89.46,15.35,16.7,56.62,5204.0,2,Barley,LateSeasonStage,0.45,0
2010-04-28,1006.3,0.35,3.68,2.5,5.99,83.71,16.06,17.33,38.62,6151.0,3,Barley,CropDevStage,0.75,2
2010-04-29,1004.87,0.34,4.25,0.0,6.03,71.67,16.13,17.13,1.21,6912.0,0,Cucumber,CropDevStage,0.7,2
2010-04-30,1003.62,0.32,4.09,0.0,6.77,82.79,15.77,16.85,4.79,7212.0,0,Cabbage,CropDevStage,0.75,3
2010-05-01,1001.79,0.31,3.92,0.0,5.13,82.54,15.75,17.12,34.21,6887.0,2,Carrot,LateSeasonStage,0.9,3
2010-05-02,998.62,0.3,3.74,0.0,5.82,78.88,15.68,16.95,48.25,6268.0,1,Grain,InitialStage,0.35,1
2010-05-03,996.55,0.31,2.2,3.0,6.24,89.04,16.38,16.74,69.0,3725.0,2,Carrot,InitialStage,0.45,0
2010-05-04,992.68,0.32,3.02,1.7,10.39,71.04,17.96,17.7,48.67,4485.0,3,Cabbage,MidSeasonStage,1.05,2
2010-05-05,989.86,0.32,2.78,1.6,12.83,74.25,16.29,16.99,39.83,4318.0,2,Bean,LateSeasonStage,0.9,2
2010-05-06,993.22,0.35,2.6,14.4,10.91,79.33,13.82,15.58,61.46,4947.0,51,Cotton,CropDevStage,0.75,0
2010-05-07,995.7,0.35,2.89,1.8,7.71,76.54,14.26,15.37,67.25,5050.0,1,Lettuce,InitialStage,0.45,1
2010-05-08,996.49,0.34,3.26,0.4,7.49,75.88,14.76,16.28,44.54,6141.0,51,Barley,CropDevStage,0.75,2
2010-05-09,999.23,0.32,4.02,0.0,5.64,77.83,15.27,16.36,18.5,7287.0,1,Lettuce,MidSeasonStage,1.0,3
2010-05-10,997.5,0.31,3.72,0.3,6.09,74.71,15.81,16.4,30.08,6144.0,1,Grain,CropDevStage,0.75,2
2010-05-11,994.19,0.29,3.52,0.2,8.15,71.58,18.08,17.87,32.0,5352.0,1,Cucumber,MidSeasonStage,0.9,3
2010-05-12,994.3,0.29,2.54,1.5,5.73,89.83,16.77,17.88,65.0,4342.0,2,Eggplant,InitialStage,0.45,1
2010-05-13,994.78,0.29,3.57,1.8,9.54,84.12,16.52,18.01,40.88,6355.0,51,Grain,InitialStage,0.35,1
2010-05-14,992.76,0.29,3.51,1.7,6.41,78.33,16.7,17.77,34.42,5876.0,0,Lettuce,LateSeasonStage,0.9,2
2010-05-15,984.75,0.4,1.73,36.2,24.45,84.75,13.89,15.51,85.46,3160.0,53,Eggplant,InitialStage,0.45,0
2010-05-16,995.31,0.42,2.2,20.1,18.5,79.62,14.2,15.16,75.0,4398.0,53,Grain,CropDevStage,0.75,0
2010-05-17,1000.51,0.4,2.88,5.6,6.75,79.21,14.76,16.1,64.67,5165.0,2,Cabbage,CropDevStage,0.75,0
2010-05-18,1003.08,0.38,3.9,0.0,6.11,82.88,15.02,16.66,19.04,6710.0,0,Cucumber,MidSeasonStage,0.9,3
2010-05-19,1000.58,0.36,3.26,0.8,7.44,77.67,15.62,16.78,77.96,5564.0,1,Eggplant,MidSeasonStage,1.15,3
2010-05-20,999.91,0.35,3.74,0.0,13.27,63.08,15.42,16.46,32.17,5875.0,1,Barley,LateSeasonStage,0.45,2
2010-05-21,1001.51,0.34,3.59,0.0,7.31,71.62,15.01,16.0,32.17,5855.0,0,Cucumber,MidSeasonStage,0.9,3
2010-05-22,1001.61,0.33,3.75,0.0,5.8,78.58,15.97,16.52,24.04,6073.0,0,Cucumber,CropDevStage,0.7,2
2010-05-23,1001.87,0.32,4.16,1.4,4.39,82.79,17.29,17.66,20.17,6919.0,0,Grain,LateSeasonStage,0.65,2
2010-05-24,1001.89,0.31,4.21,1.2,3.95,86.0,17.51,18.26,19.71,6924.0,0,Cabbage,MidSeasonStage,1.05,3
2010-05-25,1003.0,0.31,3.95,0.0,5.04,87.75,17.55,18.37,32.92,6641.0,1,Lettuce,CropDevStage,0.6,2
2010-05-26,1001.93,0.3,4.27,0.0,6.01,83.83,17.65,18.85,38.25,7132.0,2,Barley,MidSeasonStage,1.15,3
2010-05-27,998.52,0.29,4.64,0.0,6.76,77.08,18.27,18.98,30.75,7460.0,0,Lettuce,MidSeasonStage,1.0,3
2010-05-28,999.21,0.28,3.58,0.5,7.26,80.83,19.47,19.98,50.96,5700.0,3,Eggplant,MidSeasonStage,1.15,3
2010-05-29,1000.2,0.28,3.95,0.0,5.7,80.58,20.14,20.76,60.54,5896.0,2,Cotton,MidSeasonStage,1.15,3
2010-05-30,998.94,0.27,4.24,0.6,7.7,82.25,19.89,21.18,30.92,6765.0,2,Eggplant,CropDevStage,0.75,3
2010-05-31,992.66,0.28,2.57,6.1,13.3,81.54,18.47,19.54,92.5,4319.0,3,Barley,InitialStage,0.35,0
2010-06-01,994.29,0.28,5.05,0.0,8.74,57.71,17.84,19.53,18.21,7651.0,1,Eggplant,InitialStage,0.45,2
2010-06-02,992.27,0.27,3.77,1.6,7.85,74.67,17.7,18.62,42.08,6236.0,1,Bean,MidSeasonStage,1.1,3
2010-06-03,994.42,0.28,3.66,4.2,5.09,80.96,17.28,19.07,45.08,6271.0,1,Eggplant,CropDevStage,0.75,0
2010-06-04,999.31,0.35,3.28,7.0,7.41,79.33,17.47,18.92,43.54,5160.0,61,Barley,InitialStage,0.35,0
2010-06-05,1003.24,0.32,4.06,0.0,6.11,77.17,18.7,19.66,23.42,6079.0,0,Cotton,CropDevStage,0.75,3
2010-06-06,1002.35,0.3,4.86,0.0,5.51,82.12,19.8,20.7,6.54,7602.0,0,Grain,MidSeasonStage,1.1,3
2010-06-07,1000.25,0.28,3.65,0.0,5.9,85.79,19.68,20.9,46.75,5653.0,2,Bean,InitialStage,0.35,1
2010-06-08,998.74,0.27,4.58,0.0,4.35,82.88,20.61,21.62,27.67,7173.0,1,Cabbage,MidSeasonStage,1.05,3
2010-06-09,998.18,0.25,5.23,0.0,4.85,81.04,21.88,22.37,4.67,7865.0,0,Cucumber,LateSeasonStage,0.75,3
2010-06-10,998.62,0.24,5.59,0.0,6.24,70.08,23.5,23.68,16.54,7833.0,1,Cotton,LateSeasonStage,0.75,3
2010-06-11,998.6,0.22,5.6,0.0,4.48,72.29,23.32,24.11,4.62,7952.0,0,Cabbage,LateSeasonStage,0.9,3
2010-06-12,997.88,0.21,5.26,0.0,5.92,74.96,23.35,23.98,15.54,7489.0,0,Carrot,CropDevStage,0.75,3
2010-06-13,997.45,0.2,5.3,0.0,6.41,80.92,22.45,24.15,10.71,7834.0,1,Cabbage,InitialStage,0.45,2
2010-06-14,999.53,0.2,4.2,0.0,5.54,85.12,21.92,23.85,49.83,6300.0,1,Grain,LateSeasonStage,0.65,2
2010-06-15,998.25,0.19,5.2,0.0,6.17,72.38,24.13,24.96,26.46,7002.0,1,Lentil,LateSeasonStage,0.5,2
2010-06-16,999.0,0.19,4.93,0.2,8.05,79.33,22.67,24.67,7.08,7456.0,0,Cabbage,CropDevStage,0.75,3
2010-06-17,999.38,0.18,5.42,0.0,4.63,73.62,22.8,24.05,4.88,7915.0,0,Barley,CropDevStage,0.75,3
2010-06-18,995.81,0.18,4.16,0.0,7.8,75.58,22.42,23.54,23.92,5981.0,0,Carrot,MidSeasonStage,1.05,3
2010-06-19,991.23,0.21,4.25,10.1,13.28,75.96,19.7,22.41,43.92,6862.0,0,Grain,MidSeasonStage,1.1,0
2010-06-20,988.71,0.36,2.8,38.1,11.22,84.75,17.8,20.12,71.25,4896.0,53,Lettuce,InitialStage,0.45,0
2010-06-21,990.15,0.4,2.61,9.2,11.15,77.38,16.6,18.57,65.12,4394.0,51,Lettuce,CropDevStage,0.6,0
2010-06-22,996.91,0.38,3.08,2.8,5.08,74.08,18.38,19.56,54.21,4694.0,0,Lentil,CropDevStage,0.75,1
2010-06-23,999.51,0.37,3.79,0.4,5.84,74.54,19.15,20.43,66.25,5679.0,3,Barley,InitialStage,0.35,1
2010-06-24,999.48,0.34,4.52,0.0,6.45,72.92,19.58,20.85,34.54,6883.0,0,Cucumber,InitialStage,0.45,2
2010-06-25,998.78,0.33,4.81,0.0,5.62,75.04,20.18,21.1,15.17,7302.0,0,Bean,CropDevStage,0.7,3
2010-06-26,998.62,0.31,4.21,0.1,4.57,82.67,20.6,21.52,26.58,6463.0,0,Lettuce,CropDevStage,0.6,2
2010-06-27,999.88,0.3,4.05,0.0,5.75,78.58,20.85,21.95,28.71,6013.0,1,Eggplant,LateSeasonStage,0.8,3
2010-06-28,1000.62,0.29,4.65,0.0,5.93,75.42,21.41,22.18,10.83,6752.0,0,Bean,CropDevStage,0.7,3
2010-06-29,1000.67,0.28,4.6,0.0,4.45,78.83,22.09,22.71,9.58,6785.0,0,Grain,LateSeasonStage,0.65,2
2010-06-30,1000.56,0.27,4.52,0.0,4.09,85.33,22.36,23.16,21.12,6608.0,0,Cucumber,InitialStage,0.45,2
2010-07-01,1000.32,0.26,4.41,0.8,4.24,87.58,21.93,23.48,31.92,6647.0,2,Barley,MidSeasonStage,1.15,3
2010-07-02,1000.55,0.25,4.57,0.4,4.05,88.0,22.77,23.88,27.29,6614.0,0,Lettuce,CropDevStage,0.6,2
2010-07-03,1000.63,0.24,4.88,0.1,5.55,83.04,23.42,24.66,19.96,7012.0,1,Grain,CropDevStage,0.75,3
2010-07-04,1001.65,0.23,4.77,0.9,4.56,86.62,23.96,25.12,25.96,7119.0,0,Carrot,InitialStage,0.45,2
2010-07-05,1001.1,0.23,4.57,0.0,5.62,85.83,24.05,25.59,33.0,6717.0,2,Barley,LateSeasonStage,0.45,2
2010-07-06,999.75,0.22,4.66,1.6,5.57,84.17,24.35,25.79,17.54,6769.0,0,Cabbage,MidSeasonStage,1.05,3
2010-07-07,1001.5,0.21,4.8,1.0,5.33,80.42,24.84,26.3,32.62,6613.0,1,Lettuce,CropDevStage,0.6,2
2010-07-08,1004.35,0.2,5.99,0.0,9.44,59.0,24.41,25.97,7.08,7626.0,0,Eggplant,MidSeasonStage,1.15,3
2010-07-09,1004.45,0.19,5.94,0.0,6.69,63.75,23.62,25.38,0.75,7997.0,0,Carrot,InitialStage,0.45,2
2010-07-10,1003.44,0.18,5.8,0.0,6.5,66.5,23.94,25.55,0.79,7907.0,0,Barley,MidSeasonStage,1.15,3
2010-07-11,1002.53,0.18,5.5,0.0,6.23,72.62,24.15,25.76,1.04,7699.0,0,Grain,LateSeasonStage,0.65,3
2010-07-12,1001.43,0.17,4.92,0.0,4.82,83.08,25.03,26.36,19.04,7059.0,0,Grain,LateSeasonStage,0.65,3
2010-07-13,1000.22,0.17,4.36,0.2,6.86,84.92,25.09,26.7,37.83,6339.0,1,Cotton,CropDevStage,0.75,3
2010-07-14,999.38,0.17,5.18,0.0,5.51,78.71,25.22,27.08,16.0,7228.0,1,Bean,LateSeasonStage,0.9,3
2010-07-15,998.47,0.16,5.52,0.0,5.84,77.67,26.12,27.31,1.04,7612.0,0,Cucumber,CropDevStage,0.7,3
2010-07-16,999.46,0.16,5.73,0.0,5.32,77.71,26.96,27.83,0.5,7581.0,0,Lentil,InitialStage,0.45,2
